phenotype_id,query_concept_id
1,36543187
1,36545242
1,44499676
1,36528862
1,44499686
1,36520679
1,44499688
1,36563697
1,36559603
1,36535031
1,36518654
1,36532996
1,44499718
1,36545286
1,44499726
1,44499730
1,36565786
1,36561693
1,44499741
1,44501791
1,44501794
1,36561699
1,36535081
1,36565803
1,36520748
1,36545324
1,36535086
1,36533051
1,44501834
1,4115276
1,36541263
1,44499794
1,36547411
1,36518742
1,36539223
1,36545372
1,36567908
1,36537196
1,36520819
1,36520827
1,36545406
1,44501887
1,36557699
1,36549522
1,44499863
1,36518808
1,44499866
1,36547483
1,36537250
1,36539299
1,44501926
1,44499882
1,36531120
1,44499889
1,36541362
1,36541364
1,36557751
1,36547511
1,36555703
1,44499900
1,36531136
1,36527049
1,36557771
1,44499915
1,36561870
1,36520917
1,36559841
1,36549605
1,44499947
1,44499951
1,36525052
1,36561916
1,36555776
1,36561922
1,36525066
1,36551697
1,36520977
1,36559892
1,36525101
1,36553787
1,44500048
1,44502106
1,44500061
1,44502109
1,36533348
1,44500072
1,36539497
1,36555882
1,36537460
1,36543615
1,765056
1,36533384
1,36549769
1,36531338
1,36566155
1,36551818
1,36551824
1,44502161
1,44500114
1,36562068
1,44502176
1,36529321
1,36566204
1,36531398
1,36541640
1,44500183
1,44500188
1,44500190
1,44502238
1,36531433
1,44500201
1,36527345
1,36535538
1,36547828
1,36560118
1,36545785
1,36529404
1,36523265
1,36519172
1,36535558
1,36533515
1,36539661
1,44500239
1,36541713
1,42511643
1,36523297
1,44502320
1,44502329
1,42511673
1,44502334
1,44500287
1,44502341
1,36402516
1,36531543
1,36537690
1,36549979
1,36566369
1,42511724
1,36517234
1,44502390
1,44500348
1,44500356
1,44500359
1,36539786
1,36566412
1,36552086
1,44502426
1,42511775
1,36537768
1,36529581
1,36533687
1,44502456
1,44502457
1,44500414
1,44500415
1,36539842
1,44502466
1,42511824
1,36519384
1,36543960
1,44500448
1,42511853
1,36543984
1,36527609
1,42511869
1,36525571
1,44500486
1,36552199
1,36527622
1,36556298
1,36539915
1,44502543
1,44502549
1,36529691
1,36529692
1,36564508
1,36537900
1,42511919
1,36517425
1,36558400
1,36521546
1,36525643
1,36550225
1,42511962
1,44500573
1,36535903
1,44502623
1,44500577
1,36548193
1,36544100
1,36554343
1,36548201
1,36531819
1,42511979
1,36560499
1,36544137
1,36521609
1,36521617
1,36542106
1,42512028
1,36556450
1,44500647
1,42512043
1,44502703
1,36558515
1,36544341
1,44502885
1,44500841
1,36546410
1,36562795
1,42512246
1,44500855
1,44500865
1,36556677
1,44502921
1,36403081
1,42512265
1,36554642
1,36519829
1,36530069
1,44502938
1,4155293
1,44504991
1,44502943
1,44502949
1,44505002
1,36562863
1,36564925
1,36554688
1,36526019
1,44500933
1,42512326
1,36403149
1,42512336
1,36716500
1,36560854
1,44503004
1,36556766
1,44503010
1,44503017
1,44503018
1,36532214
1,44500984
1,44503034
1,42512380
1,36554751
